TN,TP,FN,FP,prog,complete,score,falseRate,numVars,numIfs,numLoops,numFuncs,numCalls,numFundTypes,numArrayTypes,numPointerTypes,numCompTypes,numThings,numLines,numLoads,numStores,numAddrSpaceCast,numAlloca,numAtomicCmpXchg,numAtomicRMW,numBitCast,numBranch,numCall,numCatchPad,numCatchReturn,numCatchSwitch,numCleanupPad,numCleanupReturn,numExtractElement,numExtractValue,numFCmp,numFence,numFPExt,numFPToSI,numFPToUI,numFPTrunc,numGetElementPtr,numICmp,numIndirectBr,numInsertElement,numInsertValue,numIntToPtr,numInvoke,numLandingPad,numLoad,numPHINode,numPtrToInt,numResume,numReturn,numSelect,numSExt,numShuffleVector,numSIToFP,numStore,numSwitch,numTrunc,numUIToFP,numUnreachable,numVAArg,numZExt,numDUMMY
0,0,0,0,82,0,0.0,NA,11,7,2,2,4,6,0,5,0,69,101,25,20,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,25,0,0,0,2,0,5,0,0,20,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,19,17630,1,9,70,19,0,0,0,44009,65435,17646,8635,0,0,0,0,0,21366,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17630,0,0,0,0,0,0,17646,0,0,0,9,0,0,0,0,8635,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,11,7821,1,5,66,11,0,0,0,20965,36666,9271,3791,0,0,0,0,0,9569,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821,0,0,0,0,0,0,9271,0,0,0,5,0,0,0,0,3791,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,167,261796,1,83,144,167,0,0,0,669599,972374,261960,145449,0,0,0,0,0,302715,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261796,0,0,0,0,0,0,261960,0,0,0,83,0,0,0,0,145449,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,11,6659,1,5,66,11,0,0,0,17454,29177,7554,3159,0,0,0,0,0,8091,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659,0,0,0,0,0,0,7554,0,0,0,5,0,0,0,0,3159,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,95,136559,1,47,108,95,0,0,0,336663,493506,136651,63203,0,0,0,0,0,156783,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136559,0,0,0,0,0,0,136651,0,0,0,47,0,0,0,0,63203,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,56,102,0,17,61,56,0,0,0,716,1202,276,204,0,0,0,0,0,240,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,276,14,0,0,17,0,134,0,0,204,0,54,0,1,0,56,0
0,0,0,0,82,0,0.0,NA,95,136559,1,47,108,95,0,0,0,336663,493506,136651,63203,0,0,0,0,0,156783,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136559,0,0,0,0,0,0,136651,0,0,0,47,0,0,0,0,63203,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,11,5,1,2,3,7,0,4,0,64,100,27,16,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,27,2,0,0,2,0,7,0,0,16,0,0,0,0,0,5,0
0,0,0,0,82,0,0.0,NA,13,6,2,2,3,7,0,6,0,73,117,31,18,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,31,1,4,0,2,0,10,0,0,18,0,3,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,153,293683,1,76,137,153,0,0,0,750391,1080808,293833,162509,0,0,0,0,0,330357,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293683,0,0,0,0,0,0,293833,0,0,0,76,0,0,0,0,162509,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,9,4828,1,4,65,9,0,0,0,12891,21014,5326,2659,0,0,0,0,0,6140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,0,0,0,0,0,0,5326,0,0,0,4,0,0,0,0,2659,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,8,1,1,2,2,5,0,3,0,39,48,16,10,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,37,108,5,5,40,27,0,10,0,668,1276,312,166,0,0,0,0,6,371,40,0,0,0,0,0,0,0,0,0,0,0,0,0,197,107,0,0,0,0,0,0,312,0,11,0,5,0,2,0,0,166,0,2,0,1,0,0,0
0,53,0,0,82,53,53.0,0.0,11,7821,1,5,66,11,0,0,0,20965,36666,9271,3791,0,0,0,0,0,9569,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821,0,0,0,0,0,0,9271,0,0,0,5,0,0,0,0,3791,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,5,1655,1,2,63,5,0,0,0,4100,6970,1851,524,0,0,0,0,0,1991,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,0,0,0,0,0,0,1851,0,0,0,2,0,0,0,0,524,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,15,11883,1,7,68,15,0,0,0,32861,57905,14451,6437,0,0,0,0,0,14855,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11883,0,0,0,0,0,0,14451,0,0,0,7,0,0,0,0,6437,0,0,0,60,0,0,0
82,0,0,0,82,82,164.0,0.0,10,10,6,2,4,8,2,0,0,78,143,31,21,0,0,0,0,1,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,31,0,0,0,2,0,7,0,0,21,0,0,0,1,0,8,0
0,0,0,0,82,0,0.0,NA,153,293683,1,76,137,153,0,0,0,750391,1080808,293833,162509,0,0,0,0,0,330357,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293683,0,0,0,0,0,0,293833,0,0,0,76,0,0,0,0,162509,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,4,2,0,2,9,4,0,0,0,29,47,8,4,0,0,0,0,0,4,9,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,8,1,0,0,2,0,0,0,1,4,0,0,0,1,0,4,0
0,0,0,0,82,0,0.0,NA,167,261796,1,83,144,167,0,0,0,669599,972374,261960,145449,0,0,0,0,0,302715,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261796,0,0,0,0,0,0,261960,0,0,0,83,0,0,0,0,145449,0,0,0,60,0,0,0
0,41,14,0,82,55,-407.0,25.4545454545,2,1,1,1,1,2,0,0,0,10,14,2,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
0,56,26,0,82,82,-776.0,31.7073170732,69,18,2,34,41,15,0,53,1,386,508,129,95,0,0,0,0,19,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,49,18,0,0,0,0,0,0,129,0,0,0,34,0,2,0,0,95,0,0,0,0,0,0,0
0,20,0,0,82,20,20.0,0.0,8,7,0,2,7,8,0,0,0,55,73,18,13,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,13,0,0,0,1,0,0,0
82,0,0,0,82,82,164.0,0.0,4,5,2,2,3,4,0,0,0,32,57,10,8,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,0,0,0,2,0,2,0,0,8,0,0,0,1,0,1,0
0,82,0,0,82,82,82.0,0.0,7,5,0,3,6,7,0,0,0,44,63,12,11,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,2,8,0,1,16,2,0,0,0,29,45,1,1,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,20,0,0,82,20,20.0,0.0,6,3,0,2,4,6,0,0,0,31,41,8,8,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0
82,0,0,0,82,82,164.0,0.0,7,5,0,3,6,7,0,0,0,44,63,12,11,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,9,4828,1,4,65,9,0,0,0,12891,21014,5326,2659,0,0,0,0,0,6140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,0,0,0,0,0,0,5326,0,0,0,4,0,0,0,0,2659,0,0,0,60,0,0,0
82,0,0,0,82,82,164.0,0.0,6,4,3,2,3,4,2,0,0,46,77,17,14,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,17,0,0,0,2,0,5,0,0,14,0,0,0,1,0,1,0
0,0,0,0,82,0,0.0,NA,5,950,1,2,63,5,0,0,0,2268,3766,1018,230,0,0,0,0,0,1164,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,1018,0,0,0,2,0,0,0,0,230,0,0,0,60,0,0,0
0,41,14,0,82,55,-407.0,25.4545454545,5,1,1,1,3,5,0,0,0,26,37,8,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,7,2284,1,3,64,7,0,0,0,5909,9865,2532,1019,0,0,0,0,0,2876,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,2532,0,0,0,3,0,0,0,0,1019,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,11,3,1,4,7,4,0,7,0,67,85,23,19,0,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,23,0,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,15,11883,1,7,68,15,0,0,0,32861,57905,14451,6437,0,0,0,0,0,14855,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11883,0,0,0,0,0,0,14451,0,0,0,7,0,0,0,0,6437,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,9,10,7,2,4,8,1,0,0,94,167,48,21,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,48,0,0,0,2,0,12,0,0,21,0,0,0,1,0,3,0
0,0,0,0,82,0,0.0,NA,37,111,5,5,40,27,0,10,0,677,1294,315,169,0,0,0,0,6,380,40,0,0,0,0,0,0,0,0,0,0,0,0,0,197,110,0,0,0,0,0,0,315,0,11,0,5,0,2,0,0,169,0,2,0,1,0,0,0
0,0,0,0,82,0,0.0,NA,7,2284,1,3,64,7,0,0,0,5909,9865,2532,1019,0,0,0,0,0,2876,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,2532,0,0,0,3,0,0,0,0,1019,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,7,3878,1,3,64,7,0,0,0,10424,19260,4852,1620,0,0,0,0,0,4760,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3878,0,0,0,0,0,0,4852,0,0,0,3,0,0,0,0,1620,0,0,0,60,0,0,0
0,67,0,0,82,67,67.0,0.0,9,4828,1,4,65,9,0,0,0,12891,21014,5326,2659,0,0,0,0,0,6140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4828,0,0,0,0,0,0,5326,0,0,0,4,0,0,0,0,2659,0,0,0,60,0,0,0
82,0,0,0,82,82,164.0,0.0,10,7,6,2,3,5,5,0,0,71,128,30,19,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,30,0,0,0,2,0,11,0,0,19,0,0,0,1,0,1,0
0,0,0,0,82,0,0.0,NA,9,4,1,2,3,5,0,4,0,50,71,17,15,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,17,0,0,0,2,0,4,0,0,15,0,0,0,0,0,0,0
0,53,0,0,82,53,53.0,0.0,11,7821,1,5,66,11,0,0,0,20965,36666,9271,3791,0,0,0,0,0,9569,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821,0,0,0,0,0,0,9271,0,0,0,5,0,0,0,0,3791,0,0,0,60,0,0,0
0,0,35,0,82,35,-1120.0,100.0,11,9,2,11,28,7,0,4,0,99,148,18,22,0,0,0,0,0,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0,11,0,0,0,0,22,2,0,0,1,0,7,0
0,0,0,0,82,0,0.0,NA,167,261796,1,83,144,167,0,0,0,669599,972374,261960,145449,0,0,0,0,0,302715,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261796,0,0,0,0,0,0,261960,0,0,0,83,0,0,0,0,145449,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,13,15926,1,6,67,13,0,0,0,39893,58021,15936,7945,0,0,0,0,0,18068,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15926,0,0,0,0,0,0,15936,0,0,0,6,0,0,0,0,7945,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,7,2284,1,3,64,7,0,0,0,5909,9865,2532,1019,0,0,0,0,0,2876,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,2532,0,0,0,3,0,0,0,0,1019,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,13,6,2,2,3,6,0,7,0,70,106,28,18,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,28,1,0,0,2,0,10,0,0,18,0,1,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,8,3,2,2,2,6,0,2,0,42,61,16,11,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,2,0,3,0,0,11,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,6,2,1,2,4,3,0,3,0,36,52,13,9,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,13,0,2,0,2,0,3,0,0,9,0,1,0,0,0,0,0
26,0,0,0,82,26,52.0,0.0,19,6,4,9,19,1,0,17,1,127,183,45,29,0,0,0,0,12,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,45,0,0,0,9,0,0,0,0,29,0,0,0,2,0,0,0
82,0,0,0,82,82,164.0,0.0,7,5,0,3,6,7,0,0,0,44,63,12,11,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0
0,79,0,0,82,79,79.0,0.0,7,3878,1,3,64,7,0,0,0,10424,19260,4852,1620,0,0,0,0,0,4760,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3878,0,0,0,0,0,0,4852,0,0,0,3,0,0,0,0,1620,0,0,0,60,0,0,0
82,0,0,0,82,82,164.0,0.0,13,9,5,2,5,9,4,0,0,102,178,49,24,0,0,0,0,3,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,49,0,0,0,2,0,16,0,0,24,0,0,0,1,0,1,0
0,41,14,0,82,55,-407.0,25.4545454545,4,1,1,1,3,4,0,0,0,23,29,7,7,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,5,3066,1,2,63,5,0,0,0,7434,10932,3068,1230,0,0,0,0,0,3438,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,3068,0,0,0,2,0,0,0,0,1230,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,8,3,1,3,5,6,0,2,0,73,107,35,19,0,0,0,0,0,8,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,35,2,0,0,3,0,0,0,0,19,0,0,0,1,0,2,0
82,0,0,0,82,82,164.0,0.0,2,1,0,2,5,2,0,0,0,13,16,1,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0
0,41,41,0,82,82,-1271.0,50.0,4,2,1,1,3,4,0,0,0,22,32,6,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,153,293683,1,76,137,153,0,0,0,750391,1080808,293833,162509,0,0,0,0,0,330357,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293683,0,0,0,0,0,0,293833,0,0,0,76,0,0,0,0,162509,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,5,3066,1,2,63,5,0,0,0,7434,10932,3068,1230,0,0,0,0,0,3438,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,3068,0,0,0,2,0,0,0,0,1230,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,5,3066,1,2,63,5,0,0,0,7434,10932,3068,1230,0,0,0,0,0,3438,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,3068,0,0,0,2,0,0,0,0,1230,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,13,15926,1,6,67,13,0,0,0,39893,58021,15936,7945,0,0,0,0,0,18068,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15926,0,0,0,0,0,0,15936,0,0,0,6,0,0,0,0,7945,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,7,2400,1,3,64,7,0,0,0,6503,11927,2989,1040,0,0,0,0,0,2990,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,2989,0,0,0,3,0,0,0,0,1040,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,11,8954,1,5,66,11,0,0,0,21831,32409,8962,3833,0,0,0,0,0,10518,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8954,0,0,0,0,0,0,8962,0,0,0,5,0,0,0,0,3833,0,0,0,60,0,0,0
26,0,0,0,82,26,52.0,0.0,26,11,10,13,31,4,0,22,0,217,292,88,48,0,0,0,0,14,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,88,0,0,0,13,0,0,0,0,48,0,0,0,1,0,1,0
0,0,0,0,82,0,0.0,NA,11,6659,1,5,66,11,0,0,0,17454,29177,7554,3159,0,0,0,0,0,8091,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659,0,0,0,0,0,0,7554,0,0,0,5,0,0,0,0,3159,0,0,0,60,0,0,0
0,0,0,0,82,0,0.0,NA,7,2400,1,3,64,7,0,0,0,6503,11927,2989,1040,0,0,0,0,0,2990,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,2989,0,0,0,3,0,0,0,0,1040,0,0,0,60,0,0,0
0,41,14,0,82,55,-407.0,25.4545454545,5,2,1,1,4,5,0,0,0,28,36,7,9,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
0,0,0,0,82,0,0.0,NA,11,6659,1,5,66,11,0,0,0,17454,29177,7554,3159,0,0,0,0,0,8091,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6659,0,0,0,0,0,0,7554,0,0,0,5,0,0,0,0,3159,0,0,0,60,0,0,0
