entryClass,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
jpf-regression/ExSymExe27_true,0,25,4,2,0,0,1,24,33,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExGenSymExe_false,0,9,1,4,0,0,2,7,11,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0
jpf-regression/ExSymExe2_false,2,29,4,4,0,0,1,28,49,0,0,0,1,0,7,3,6,7,3,1,0,0,0,0,6,1,0,0,0,0,13,2
jpf-regression/ExSymExe8_true,0,27,4,2,0,0,1,26,33,0,0,0,1,0,4,2,4,6,2,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExe21_false,0,30,4,4,0,0,1,29,41,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,4,1,0,0,0,0,12,1
jpf-regression/ExSymExe26_true,0,26,4,2,0,0,1,25,33,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExSymExe12_true,1,27,4,3,0,0,1,26,39,0,0,0,2,0,5,2,5,7,3,1,0,0,0,0,2,1,0,0,0,0,11,1
jpf-regression/ExSymExeF2L_false,1,18,4,3,0,0,1,17,30,0,0,0,1,2,4,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExMIT_true,1,11,3,2,0,0,0,11,20,1,0,2,1,0,4,1,0,1,1,4,0,0,0,0,0,0,0,4,1,1,0,0
jpf-regression/ExSymExe26_false,1,26,4,3,0,0,1,25,37,0,0,0,1,0,5,2,5,6,2,1,0,0,0,0,3,1,0,0,0,0,11,1
jpf-regression/ExSymExeTestAssignments_false,0,12,3,2,0,0,0,12,21,3,1,0,6,3,0,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
jpf-regression/ExSymExe19_false,0,29,4,4,0,0,1,28,40,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,2,1,1,0,0,0,12,1
jpf-regression/ExSymExe17_true,0,26,4,2,0,0,1,25,35,0,0,0,2,0,4,2,4,7,2,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExLazy_false,0,14,3,2,0,0,0,14,22,0,6,3,0,0,1,4,0,0,0,1,2,0,1,0,0,0,0,0,1,0,3,1
jpf-regression/ExSymExeSwitch_true,1,17,3,2,0,0,0,17,26,4,1,0,7,3,1,0,2,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0
jpf-regression/ExMIT_false,0,11,3,2,0,0,0,11,19,1,0,2,1,0,4,1,0,1,1,4,0,0,0,0,0,0,0,3,1,1,0,0
jpf-regression/ExSymExe4_false,2,25,4,4,0,0,1,24,43,0,0,0,1,0,6,2,6,6,3,1,0,0,0,0,5,1,0,0,0,0,12,1
jpf-regression/ExSymExe1_false,0,28,4,4,0,0,1,27,42,0,0,0,1,0,5,3,4,7,3,1,0,0,0,0,3,1,0,0,0,0,13,2
jpf-regression/ExSymExe29_true,0,24,4,2,0,0,1,23,32,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,0,1,0,0,0,0,10,1
jpf-regression/ExSymExe3_true,0,27,4,2,0,0,1,26,34,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExLazy_true,1,14,3,4,0,0,0,14,27,0,8,3,0,0,1,6,0,0,0,1,3,0,1,0,0,0,0,0,1,0,3,1
jpf-regression/ExSymExe21_true,0,30,4,2,0,0,1,29,38,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,3,1,0,0,0,0,10,1
jpf-regression/ExSymExeLongBytecodes_true,1,39,4,3,0,0,1,38,50,0,0,0,1,3,5,2,4,6,4,1,0,0,0,0,9,2,2,1,0,0,11,1
jpf-regression/ExSymExeF2I_false,0,16,4,2,0,0,1,15,26,0,0,0,1,0,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,7,1
jpf-regression/TestLazy_false,0,15,4,3,0,0,1,14,22,4,0,1,1,1,0,8,2,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0
jpf-regression/ExSymExe13_true,1,30,4,3,0,0,1,29,39,0,0,0,2,0,5,2,5,7,2,1,0,0,0,0,3,1,0,0,0,0,11,1
jpf-regression/ExSymExeComplexMath_true,0,18,4,2,0,0,1,17,28,3,2,2,3,1,1,8,0,4,0,1,0,0,0,0,0,0,0,0,1,1,2,0
jpf-regression/ExSymExeTestClassFields_true,1,14,4,3,0,0,1,13,29,0,0,0,1,0,5,2,4,5,2,1,0,0,0,0,0,1,0,0,0,0,8,1
jpf-regression/ExSymExe28_false,0,24,4,4,0,0,1,23,34,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,0,1,0,0,0,0,12,1
jpf-regression/ExSymExe10_true,1,27,4,3,0,0,1,26,39,0,0,0,2,0,5,2,4,7,3,1,0,0,0,0,2,1,1,0,0,0,11,1
jpf-regression/ExSymExe10_false,1,27,4,3,0,0,1,26,41,0,0,0,2,0,5,2,5,8,3,1,0,0,0,0,2,1,1,0,0,0,11,1
jpf-regression/ExSymExe25_false,0,29,4,4,0,0,1,28,37,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,3,1,0,0,0,0,12,1
jpf-regression/ExSymExe13_false,2,30,4,4,0,0,1,29,45,0,0,0,2,0,6,2,6,9,3,1,0,0,0,0,3,1,0,0,0,0,12,1
jpf-regression/ExSymExeSwitch_false,0,17,3,2,0,0,0,17,25,3,1,0,7,2,1,0,3,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0
jpf-regression/ExSymExe16_true,0,25,4,2,0,0,1,24,34,0,0,0,2,0,4,2,4,7,2,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExSymExe20_true,0,27,4,2,0,0,1,26,37,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExeI2F_true,1,18,4,3,0,0,1,17,30,0,0,0,1,1,4,2,4,3,3,1,0,0,0,0,1,2,0,1,0,0,8,1
jpf-regression/ExSymExeLongBytecodes_false,0,39,4,3,0,0,1,38,45,0,0,0,1,2,4,2,4,6,3,1,0,0,0,0,9,1,1,0,0,0,11,1
jpf-regression/ExSymExeF2I_true,2,16,4,3,0,0,1,15,31,0,0,0,1,2,5,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExSymExe28_true,0,24,4,2,0,0,1,23,32,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,0,1,0,0,0,0,10,1
jpf-regression/ExSymExeSimple_true,1,14,2,5,0,0,2,12,14,1,0,1,2,0,3,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
jpf-regression/ExSymExe8_false,0,27,4,4,0,0,1,26,38,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,4,1,0,0,0,0,12,1
jpf-regression/ExSymExe7_false,1,27,4,3,0,0,1,26,41,0,0,0,1,0,5,2,5,6,3,1,0,0,0,0,6,1,0,0,0,0,11,1
jpf-regression/ExSymExe3_false,0,27,4,4,0,0,1,26,36,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,2,1,0,0,0,0,12,1
jpf-regression/ExSymExeD2L_false,0,18,4,3,0,0,1,17,28,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExSymExeLCMP_true,0,19,4,3,0,0,1,18,29,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,2,1,0,1,0,0,8,1
jpf-regression/ExException_false,0,12,5,4,0,0,0,12,26,0,0,3,3,0,0,5,0,0,0,2,2,0,0,1,0,1,0,1,0,9,0,1
jpf-regression/ExSymExeFNEG_true,1,19,4,3,0,0,1,18,31,0,0,0,1,2,4,2,4,4,2,1,0,0,0,0,0,1,1,0,0,0,9,1
jpf-regression/ExSymExe7_true,1,27,4,3,0,0,1,26,39,0,0,0,1,0,5,2,5,6,3,1,0,0,0,0,4,1,0,0,0,0,11,1
jpf-regression/ExSymExeSimple_false,0,11,2,5,0,0,2,9,11,1,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
jpf-regression/ExSymExe_false,0,20,4,2,0,0,1,19,30,0,0,0,2,0,4,2,4,4,2,1,0,0,0,0,2,1,0,0,0,0,8,1
jpf-regression/ExSymExeD2L_true,2,18,4,3,0,0,1,17,32,0,0,0,1,3,5,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
jpf-regression/ExSymExe6_true,0,24,4,2,0,0,1,23,33,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,1,1,0,0,0,0,10,1
jpf-regression/ExSymExeArrays_true,0,16,4,2,0,1,1,14,30,0,0,1,2,0,3,3,4,5,2,1,0,1,0,0,0,1,0,0,0,0,7,1
jpf-regression/ExSymExe1_true,0,28,4,2,0,0,1,27,38,0,0,0,1,0,5,3,4,7,3,1,0,0,0,0,1,1,0,0,0,0,11,2
jpf-regression/ExSymExeI2F_false,0,18,4,2,0,0,1,17,27,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,7,1
jpf-regression/ExSymExeBool_true,0,19,4,2,0,0,1,18,27,0,0,0,1,0,3,2,4,4,2,1,0,0,0,0,1,1,0,0,0,0,8,1
jpf-regression/ExSymExe19_true,1,29,4,3,0,0,1,28,44,0,0,0,3,0,5,2,5,10,2,1,0,0,0,0,3,1,1,0,0,0,11,1
jpf-regression/ExSymExeI2D_true,1,18,4,3,0,0,1,17,33,0,0,0,1,1,4,2,4,3,3,1,0,0,0,0,3,2,1,1,0,0,8,1
jpf-regression/ExSymExe11_false,0,26,4,3,0,0,1,25,37,0,0,0,2,0,4,2,4,7,3,1,0,0,0,0,1,1,1,0,0,0,11,1
jpf-regression/ExSymExe15_true,1,30,4,3,0,0,1,29,41,0,0,0,2,0,5,2,5,9,2,1,0,0,0,0,3,1,0,0,0,0,11,1
jpf-regression/ExGenSymExe_true,0,9,1,4,0,0,2,7,11,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0
jpf-regression/ExSymExe5_false,0,27,4,4,0,0,1,26,35,0,0,0,1,0,4,2,4,6,2,1,0,0,0,0,2,1,0,0,0,0,12,1
jpf-regression/ExSymExe5_true,0,27,4,2,0,0,1,26,34,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExe2_true,0,29,4,2,0,0,1,28,39,0,0,0,1,0,5,3,4,7,3,1,0,0,0,0,2,1,0,0,0,0,11,2
jpf-regression/ExSymExeComplexMath_false,0,18,4,2,0,0,1,17,28,3,2,2,3,1,1,8,0,4,0,1,0,0,0,0,0,0,0,0,1,1,2,0
jpf-regression/ExSymExe9_true,0,27,4,2,0,0,1,26,36,0,0,0,2,0,4,2,4,7,3,1,0,0,0,0,2,1,0,0,0,0,10,1
jpf-regression/ExSymExeSuzette_true,2,18,6,3,0,0,1,17,40,0,10,10,0,0,1,9,0,0,0,1,1,2,1,0,0,0,0,0,1,0,3,2
jpf-regression/ExSymExeResearch_true,3,16,4,4,0,0,2,14,36,0,0,0,1,0,10,2,4,2,4,1,0,0,0,0,3,4,1,0,0,0,7,1
jpf-regression/ExSymExe14_false,1,27,4,3,0,0,1,26,40,0,0,0,2,0,5,2,5,9,2,1,0,0,0,0,2,1,0,0,0,0,11,1
jpf-regression/ExSymExeGetStatic_false,0,4,1,2,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
jpf-regression/ExSymExe18_true,0,28,4,2,0,0,1,27,37,0,0,0,2,0,4,2,4,8,2,1,0,0,0,0,3,1,0,0,0,0,10,1
jpf-regression/ExSymExeBool_false,0,19,4,2,0,0,1,18,27,0,0,0,1,0,3,2,4,4,2,1,0,0,0,0,1,1,0,0,0,0,8,1
jpf-regression/TestLazy_true,1,15,4,3,0,0,1,14,24,4,0,1,2,1,0,8,2,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0
jpf-regression/ExSymExe15_false,0,30,4,3,0,0,1,29,38,0,0,0,2,0,4,2,4,8,2,1,0,0,0,0,3,1,0,0,0,0,11,1
jbmc-regression/StringCompare04,2,14,2,5,0,0,2,12,18,1,0,0,2,0,2,1,0,1,1,6,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/Inheritance1,6,19,2,4,0,0,4,15,30,1,0,0,0,2,6,0,0,0,5,4,0,0,1,0,7,0,1,0,0,0,3,1
jbmc-regression/instanceof2,2,7,2,1,0,0,1,6,15,1,1,0,0,2,2,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/exceptions16,1,12,2,3,0,0,2,10,18,1,0,0,0,2,1,0,0,0,4,2,1,1,2,0,2,0,1,0,0,0,2,1
jbmc-regression/StringBuilderAppend01,2,87,2,26,0,1,3,83,53,12,27,4,1,0,0,1,0,1,0,0,3,1,1,1,0,0,0,2,0,0,0,0
jbmc-regression/StringBuilderCapLen04,2,12,2,4,0,0,2,10,17,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,5,1
jbmc-regression/StringConcatenation02,4,32,2,10,0,1,3,28,35,1,0,0,0,2,2,0,2,4,11,4,0,0,1,0,5,0,1,0,0,0,2,1
jbmc-regression/bug-test-gen-119-2,2,11,2,3,0,0,1,10,15,3,1,1,1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0
jbmc-regression/exceptions9,2,14,3,3,0,0,2,12,33,4,0,0,5,0,3,4,0,2,1,7,0,0,0,0,0,2,0,6,1,1,0,0
jbmc-regression/StaticCharMethods06,3,24,2,9,0,0,1,23,26,0,1,1,0,0,0,3,0,4,1,0,0,0,0,2,1,0,0,0,0,1,3,10
jbmc-regression/StringBuilderChars03,2,14,2,5,0,0,2,12,18,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,6,1
jbmc-regression/if_acmp1,22,48,3,17,0,0,16,32,87,11,0,0,17,0,3,11,0,1,1,19,0,0,0,0,0,0,0,23,1,1,0,0
jbmc-regression/StringConcatenation01,8,46,2,15,0,1,5,40,53,1,0,0,0,2,4,0,2,7,16,6,0,0,1,0,9,0,1,0,0,0,4,1
jbmc-regression/SubString02,2,13,2,4,0,0,1,12,16,1,0,0,0,2,1,0,0,0,5,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/array1,6,19,2,3,1,2,2,15,30,1,0,0,1,3,2,0,1,1,4,4,1,0,2,0,7,0,1,0,0,0,2,2
jbmc-regression/bug-test-gen-119,5,18,2,6,0,0,2,16,24,2,0,0,2,0,2,2,0,1,1,7,0,0,0,0,0,0,0,6,1,1,0,0
jbmc-regression/lookupswitch1,10,25,2,3,0,0,2,23,34,1,0,0,0,2,2,0,0,0,4,2,1,0,7,0,11,0,1,0,1,0,2,2
jbmc-regression/NullPointerException2,1,7,2,1,0,0,1,6,14,2,0,0,0,2,1,0,0,0,2,1,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/StringStartEnd01,12,50,2,6,3,1,3,46,54,1,0,0,3,2,3,0,4,3,7,4,6,0,4,0,13,0,1,0,0,0,3,10
jbmc-regression/exceptions13,1,9,2,3,0,0,2,7,16,1,0,0,0,2,1,0,0,0,4,2,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/StringMiscellaneous01,8,54,2,14,2,2,3,49,53,1,9,0,5,0,0,5,0,6,1,0,3,0,15,1,0,3,1,1,5,0,0,2
jbmc-regression/StringBuilderConstructors01,7,29,2,11,0,0,6,23,38,8,6,1,3,0,0,12,0,3,0,1,0,0,0,0,0,0,0,0,1,3,1,0
jbmc-regression/StringValueOf07,2,20,2,6,0,1,1,18,21,7,0,3,0,0,2,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,1,2
jbmc-regression/ArrayIndexOutOfBoundsException2,2,11,2,2,0,1,1,9,18,1,0,0,0,3,1,0,0,1,3,2,0,1,2,0,3,0,1,0,0,0,1,1
jbmc-regression/if_icmp1,1,19,3,2,0,0,0,19,45,5,0,2,5,0,4,5,0,2,1,8,0,0,0,0,0,0,0,12,1,1,0,0
jbmc-regression/athrow1,1,8,2,2,0,0,2,6,15,1,0,0,0,2,1,0,0,0,3,2,0,1,1,0,2,0,1,0,0,0,2,1
jbmc-regression/tableswitch1,6,26,2,3,0,0,2,24,37,1,0,0,0,2,2,0,0,0,4,2,1,0,14,0,7,0,1,0,1,0,2,2
jbmc-regression/fcmpx_dcmpx1,12,32,2,6,0,0,6,26,49,1,0,0,0,2,6,0,0,0,7,6,0,0,1,0,13,0,1,6,0,0,6,1
jbmc-regression/ArithmeticException1,1,10,2,2,0,0,1,9,15,1,0,0,0,2,1,0,0,0,3,1,1,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/long1,9,30,2,3,0,0,3,27,44,1,0,0,0,2,3,0,0,0,4,3,3,0,1,0,10,10,1,3,0,0,3,1
jbmc-regression/StringBuilderChars01,11,63,2,22,1,1,6,56,63,1,0,0,1,0,1,5,0,1,2,0,12,23,0,0,0,0,6,3,0,7,2,2
jbmc-regression/Class_method1,2,9,3,2,0,0,1,8,16,1,0,0,1,0,3,1,0,1,1,3,0,0,0,0,0,0,0,3,2,1,0,0
jbmc-regression/StringCompare03,2,13,2,4,0,0,1,12,17,1,0,0,0,2,1,0,0,0,5,1,0,0,2,0,3,0,1,0,0,0,1,1
jbmc-regression/lazyloading4,0,3,1,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
jbmc-regression/NullPointerException3,1,8,2,1,0,0,1,7,14,1,0,0,0,2,2,0,0,0,2,1,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/StringBuilderConstructors02,2,11,2,4,0,0,2,9,17,1,0,0,2,0,2,1,0,1,1,5,0,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/putstatic_getstatic1,4,12,2,2,0,0,2,10,22,2,0,0,0,2,4,0,0,0,3,2,0,0,1,0,5,0,1,0,0,0,2,1
jbmc-regression/ArithmeticException5,0,6,2,0,0,0,0,6,9,1,0,0,0,2,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,1
jbmc-regression/list1,6,31,3,7,2,0,3,28,51,12,0,3,3,0,3,1,0,6,1,11,0,0,0,0,0,0,0,10,1,10,0,0
jbmc-regression/instanceof3,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/iarith1,4,38,2,2,0,0,2,36,36,1,0,2,0,2,2,0,0,0,3,2,14,0,1,0,5,0,1,1,0,0,2,1
jbmc-regression/RegexMatches01,3,22,2,8,1,0,1,21,23,0,0,1,2,0,1,0,4,0,2,0,2,0,0,0,9,0,0,1,0,1,0,1
jbmc-regression/StringConstructors03,2,20,2,6,0,1,3,16,25,1,0,0,4,0,2,1,2,1,1,7,2,0,0,0,0,0,0,3,1,1,0,0
jbmc-regression/StringConcatenation04,2,16,2,4,0,1,1,14,19,5,0,3,0,0,2,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,1,2
jbmc-regression/StringIndexMethods02,2,12,2,3,0,0,1,11,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
jbmc-regression/virtual1,0,5,1,3,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0
jbmc-regression/NegativeArraySizeException1,1,8,2,1,0,1,1,6,14,1,0,0,0,2,1,0,0,0,2,2,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/Validate02,5,35,2,14,0,0,1,34,36,5,0,0,1,0,2,1,0,4,1,15,0,0,0,0,0,0,0,6,1,1,0,0
jbmc-regression/StringBuilderCapLen01,12,47,2,17,0,0,7,40,55,1,6,0,0,0,0,0,18,1,0,1,7,0,1,0,2,0,6,0,13,0,0,0
jbmc-regression/store_load1,40,96,2,20,0,0,20,76,142,1,0,0,0,2,20,0,0,0,21,20,0,0,1,0,41,0,1,15,0,0,20,1
jbmc-regression/StringConcatenation03,4,33,2,10,0,2,2,29,33,11,0,5,0,0,2,0,0,1,2,0,0,1,4,0,0,2,0,0,0,1,1,4
jbmc-regression/NullPointerException4,1,7,2,1,0,0,1,6,14,2,0,0,0,2,1,0,0,0,2,1,0,1,2,0,2,0,1,0,0,0,1,1
jbmc-regression/basic1,6,24,2,6,0,0,3,21,35,9,0,0,3,0,2,3,0,2,1,7,0,0,0,0,0,1,0,7,1,1,0,0
jbmc-regression/StringValueOf05,3,20,2,6,0,1,1,18,24,1,0,0,2,0,3,1,2,1,1,7,1,0,0,0,0,0,0,4,1,1,0,0
jbmc-regression/StringBuilderChars04,3,26,2,8,1,1,2,23,29,0,0,4,0,2,1,0,2,0,1,0,1,1,2,3,3,1,9,0,2,0,0,0
jbmc-regression/exceptions4,1,15,2,4,0,0,2,13,20,3,0,0,2,0,2,2,0,2,1,5,0,0,0,0,0,2,0,2,1,1,0,0
jbmc-regression/StaticCharMethods01,18,50,2,19,0,0,9,41,71,0,0,0,0,1,0,0,0,19,0,9,0,2,0,1,9,20,0,1,0,1,0,9
jbmc-regression/TokenTest02,4,21,2,4,1,0,1,20,23,1,0,0,1,2,1,0,0,1,5,1,2,0,2,0,5,0,1,0,0,0,1,3
jbmc-regression/StringBuilderChars05,2,19,2,7,0,0,2,17,20,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,8,1
